year,fips,pop2010,pop2023,state,stateCode,growthSince2010,name,ctyname,slug,landArea,density,StatePercentage,StateRank,densityMi,area
2023,51059,1081726,1170883,Virginia,VA,0.082421057,Fairfax County,Fairfax County,fairfax-county-va,391,2994.585678,0.132717242,1,2994.585678,391
2023,51153,402002,506264,Virginia,VA,0.259356919,Prince William County,Prince William County,prince-william-county-va,336,1506.738095,0.05738401,2,1506.738095,336
2023,51810,437994,465914,Virginia,VA,0.063745165,Virginia Beach City County,Virginia Beach City County,virginia-beach-city-county-va,250,1863.656,0.052810418,3,1863.656,250
2023,51107,312311,453554,Virginia,VA,0.452251121,Loudoun County,Loudoun County,loudoun-county-va,516,878.9806202,0.051409437,4,878.9806202,516
2023,51041,316236,379041,Virginia,VA,0.198601677,Chesterfield County,Chesterfield County,chesterfield-county-va,423,896.0780142,0.042963538,5,896.0780142,423
2023,51087,306935,342624,Virginia,VA,0.116275433,Henrico County,Henrico County,henrico-county-va,234,1464.205128,0.038835744,6,1464.205128,234
2023,51550,222209,257585,Virginia,VA,0.159201472,Chesapeake City,Chesapeake City,chesapeake-city-va,341,755.3812317,0.029196744,7,755.3812317,341
2023,51013,207627,247949,Virginia,VA,0.194204029,Arlington County,Arlington County,arlington-county-va,26,9536.5,0.028104522,8,9536.5,26
2023,51710,242803,236565,Virginia,VA,-0.02569161,Norfolk City,Norfolk City,norfolk-city-va,54,4380.833333,0.026814169,9,4380.833333,54
2023,51760,204214,233330,Virginia,VA,0.142575925,Richmond City,Richmond City,richmond-city-va,60,3888.833333,0.026447488,10,3888.833333,60
2023,51700,180719,187906,Virginia,VA,0.039768923,Newport News City,Newport News City,newport-news-city-va,69,2723.275362,0.021298769,11,2723.275362,69
2023,51179,128961,165318,Virginia,VA,0.281922442,Stafford County,Stafford County,stafford-county-va,269,614.5650558,0.018738464,12,614.5650558,269
2023,51510,139966,165317,Virginia,VA,0.181122558,Alexandria City,Alexandria City,alexandria-city-va,15,11021.13333,0.018738351,13,11021.13333,15
2023,51177,122397,145324,Virginia,VA,0.187316683,Spotsylvania County,Spotsylvania County,spotsylvania-county-va,401,362.40399,0.016472184,14,362.40399,401
2023,51650,137436,137061,Virginia,VA,-0.002728543,Hampton,Hampton,hampton-va,51,2687.470588,0.01553559,15,2687.470588,51
2023,51003,98970,116421,Virginia,VA,0.176326159,Albemarle County,Albemarle County,albemarle-county-va,721,161.4715673,0.013196087,16,161.4715673,721
2023,51085,99863,113015,Virginia,VA,0.13170043,Hanover County,Hanover County,hanover-county-va,469,240.9701493,0.012810024,17,240.9701493,469
2023,51121,94392,101320,Virginia,VA,0.073396051,Montgomery County,Montgomery County,montgomery-county-va,387,261.8087855,0.011484419,18,261.8087855,387
2023,51770,97032,100905,Virginia,VA,0.039914667,Roanoke,Roanoke,roanoke-va,43,2346.627907,0.01143738,19,2346.627907,43
2023,51740,95535,98629,Virginia,VA,0.032386037,Portsmouth,Portsmouth,portsmouth-va,34,2900.852941,0.0111794,20,2900.852941,34
2023,51161,92376,98294,Virginia,VA,0.064064259,Roanoke County,Roanoke County,roanoke-county-va,251,391.6095618,0.011141428,21,391.6095618,251
2023,51800,84585,97246,Virginia,VA,0.14968375,Suffolk,Suffolk,suffolk-va,400,243.115,0.011022639,22,243.115,400
2023,51069,78305,95352,Virginia,VA,0.217700019,Frederick County,Frederick County,frederick-county-va,413,230.8765133,0.010807958,23,230.8765133,413
2023,51165,76314,85989,Virginia,VA,0.126778835,Rockingham County,Rockingham County,rockingham-county-va,849,101.2826855,0.009746681,24,101.2826855,849
2023,51019,68676,82699,Virginia,VA,0.204190693,Bedford County,Bedford County,bedford-county-va,760,108.8144737,0.009373766,25,108.8144737,760
2023,51095,67009,81626,Virginia,VA,0.218134877,James City County,James City County,james-city-county-va,142,574.8309859,0.009252144,26,574.8309859,142
2023,51680,75568,80041,Virginia,VA,0.059191721,Lynchburg,Lynchburg,lynchburg-va,49,1633.489796,0.009072487,27,1633.489796,49
2023,51015,73750,78609,Virginia,VA,0.065884746,Augusta County,Augusta County,augusta-county-va,967,81.29162358,0.008910173,28,81.29162358,967
2023,51061,65203,75303,Virginia,VA,0.154900848,Fauquier County,Fauquier County,fauquier-county-va,648,116.2083333,0.008535444,29,116.2083333,648
2023,51199,65464,71419,Virginia,VA,0.090966027,York County,York County,york-county-va,105,680.1809524,0.008095201,30,680.1809524,105
2023,51143,63506,59601,Virginia,VA,-0.061490253,Pittsylvania County,Pittsylvania County,pittsylvania-county-va,969,61.50773994,0.006755654,31,61.50773994,969
2023,51031,54842,55951,Virginia,VA,0.020221728,Campbell County,Campbell County,campbell-county-va,504,111.0138889,0.006341934,32,111.0138889,504
2023,51047,46689,54310,Virginia,VA,0.163229026,Culpeper County,Culpeper County,culpeper-county-va,379,143.298153,0.00615593,33,143.298153,379
2023,51067,56159,53973,Virginia,VA,-0.038925195,Franklin County,Franklin County,franklin-county-va,690,78.22173913,0.006117731,34,78.22173913,690
2023,51191,54876,53653,Virginia,VA,-0.02228661,Washington County,Washington County,washington-county-va,561,95.63814617,0.00608146,35,95.63814617,561
2023,51660,48914,52684,Virginia,VA,0.077074048,Harrisonburg,Harrisonburg,harrisonburg-va,17,3099.058824,0.005971626,36,3099.058824,17
2023,51089,54151,49988,Virginia,VA,-0.07687762,Henry County,Henry County,henry-county-va,382,130.8586387,0.00566604,37,130.8586387,382
2023,51540,43475,47477,Virginia,VA,0.092052904,Charlottesville,Charlottesville,charlottesville-va,10,4747.7,0.005381423,38,4747.7,10
2023,51149,35725,45194,Virginia,VA,0.265052484,Prince George County,Prince George County,prince-george-county-va,265,170.5433962,0.005122649,39,170.5433962,265
2023,51171,41993,44843,Virginia,VA,0.067868454,Shenandoah County,Shenandoah County,shenandoah-county-va,508,88.27362205,0.005082864,40,88.27362205,508
2023,51683,37821,44257,Virginia,VA,0.170170011,Manassas,Manassas,manassas-va,10,4425.7,0.005016442,41,4425.7,10
2023,51590,43055,42452,Virginia,VA,-0.014005342,Danville,Danville,danville-va,43,987.255814,0.004811849,42,987.255814,43
2023,51187,37575,41672,Virginia,VA,0.109035263,Warren County,Warren County,warren-county-va,214,194.728972,0.004723438,43,194.728972,214
2023,51093,35270,39608,Virginia,VA,0.122994046,Isle of Wight County,Isle of Wight County,isle-of-wight-county-va,316,125.3417722,0.004489487,44,125.3417722,316
2023,51073,36858,39266,Virginia,VA,0.065331814,Gloucester County,Gloucester County,gloucester-county-va,218,180.1192661,0.004450722,45,180.1192661,218
2023,51185,45078,39034,Virginia,VA,-0.134078708,Tazewell County,Tazewell County,tazewell-county-va,519,75.21001927,0.004424426,46,75.21001927,519
2023,51109,33153,38928,Virginia,VA,0.174192381,Louisa County,Louisa County,louisa-county-va,496,78.48387097,0.004412411,47,78.48387097,496
2023,51137,33481,37085,Virginia,VA,0.107643141,Orange County,Orange County,orange-county-va,341,108.7536657,0.00420351,48,108.7536657,341
2023,51195,41452,34534,Virginia,VA,-0.166891827,Wise County,Wise County,wise-county-va,403,85.69230769,0.00391436,49,85.69230769,403
2023,51730,32420,33770,Virginia,VA,0.041640962,Petersburg,Petersburg,petersburg-va,23,1468.26087,0.003827762,50,1468.26087,23
2023,51023,33148,33731,Virginia,VA,0.017587788,Botetourt County,Botetourt County,botetourt-county-va,541,62.34935305,0.003823341,51,62.34935305,541
2023,51001,33164,33488,Virginia,VA,0.00976963,Accomack County,Accomack County,accomack-county-va,450,74.41777778,0.003795798,52,74.41777778,450
2023,51155,34872,33479,Virginia,VA,-0.039946089,Pulaski County,Pulaski County,pulaski-county-va,320,104.621875,0.003794778,53,104.621875,320
2023,51083,36241,33356,Virginia,VA,-0.079605971,Halifax County,Halifax County,halifax-county-va,818,40.77750611,0.003780836,54,40.77750611,818
2023,51033,28545,31589,Virginia,VA,0.106638641,Caroline County,Caroline County,caroline-county-va,528,59.82765152,0.00358055,55,59.82765152,528
2023,51145,28046,31020,Virginia,VA,0.106040077,Powhatan County,Powhatan County,powhatan-county-va,260,119.3076923,0.003516055,56,119.3076923,260
2023,51009,32353,30992,Virginia,VA,-0.042067196,Amherst County,Amherst County,amherst-county-va,474,65.38396624,0.003512881,57,65.38396624,474
2023,51117,32727,29596,Virginia,VA,-0.095670242,Mecklenburg County,Mecklenburg County,mecklenburg-county-va,625,47.3536,0.003354647,58,47.3536,625
